Column1,Column2,Column3,Column4,Column5,Column6
101,108,14301,6147,2720,8867
108,32,22752,4945,16605,21549
32,112,22767,5547,17822,23369
112,108,20951,5741,15404,21145
108,97,13993,10781,8252,19033
97,110,19935,4839,9154,13994
110,32,20255,6946,15416,22362
32,100,12943,5799,5997,11795
100,101,18784,7341,12985,20326
101,32,19920,6366,12579,18945
32,32,54523,11747,48157,59904
32,68,31283,9377,19536,28913
68,68,29633,13575,20256,33830
68,105,24178,9540,10603,20143
105,111,25145,7660,15605,23265
111,115,23263,7961,15603,23564
44,32,36058,7243,22258,29500
32,100,28894,8563,21651,30215
101,98,15091,7572,7746,15318
98,105,20167,7039,12595,19634
105,100,16819,4814,9780,14594
100,111,10550,6451,5736,12187
111,32,26184,5813,19732,25545
32,97,9671,10585,3858,14443
97,32,13400,6645,2815,9460
32,113,10164,13501,3519,17020
113,117,20041,5961,6539,12500
117,101,10883,11076,4922,15998
101,32,21743,6456,10667,17124
97,110,19134,5541,6139,11680
110,116,28911,6040,23370,29410
116,101,12478,6477,6438,12915
101,114,11276,6454,4799,11253
114,105,34949,6653,28495,35148
105,111,21448,5057,14795,19852
111,114,15006,7056,9949,17005
114,109,13199,5640,6142,11783
109,101,13588,7353,7948,15300
101,110,8156,4236,803,5040
110,116,25379,6353,21143,27496
116,101,15213,6551,8859,15410
101,32,13296,6845,6745,13590
32,112,26386,4536,19541,24078
112,101,11171,6956,6634,13590
101,110,17343,4717,10387,15104
110,115,13775,7159,9058,16217
115,97,23065,7160,15907,23066
97,98,10164,5646,3004,8650
98,97,8764,6853,3118,9971
97,32,14405,6869,7552,14421
32,101,11279,8463,4411,12874
115,116,7056,2873,19332,22204
115,116,7056,5842,19332,2969
116,117,24676,6053,18834,24887
117,100,19140,8955,13087,22042
100,105,16715,6446,7759,14205
105,97,15409,12602,8963,21565
97,114,21445,6247,8843,15090
114,32,25682,7454,19435,26889
32,101,46429,12187,38975,51162
101,110,20246,5733,8059,13792
110,32,20633,5544,14900,20444
32,111,22360,6242,16816,23058
111,116,30814,5340,24571,29911
116,114,18559,6326,13220,19546
114,97,11957,7963,5631,13594
97,32,15002,11085,7039,18124
117,110,23041,6246,16820,23066
110,105,22756,5240,16510,21750
105,118,24172,5647,18932,24579
118,101,6347,9367,700,10067
101,114,18828,7661,9461,17122
114,115,23764,8168,16103,24271
115,105,9368,5952,1201,7153
105,100,14705,8873,8753,17626
97,100,31003,10783,16412,27194
100,32,17424,7856,6641,14496
32,121,46723,5746,38867,44613
121,32,22267,5438,16522,21960
32,111,23969,6040,18531,24570
111,116,32317,4745,26277,31023
116,114,17826,6852,13081,19933
114,97,18127,10602,11275,21877
97,32,11490,7449,888,8337
32,99,17920,6344,10471,16816
99,97,8760,11398,2415,13813
97,114,18633,4792,7236,12027
114,114,16318,5739,11526,17265
114,101,7043,9589,1304,10893
101,114,16606,5952,7018,12970
114,97,18551,11476,12599,24075
97,32,19118,6759,7642,14401
101,101,42068,15909,35251,51160
101,112,44518,5430,28609,34039
112,101,10256,9288,4826,14114
101,114,21050,8065,11761,19826
114,111,22375,5638,14310,19948
111,32,25970,5946,20332,26278
32,32,40004,11756,34058,45813
32,68,29081,10190,17325,27515
68,68,28716,12678,18526,31204
68,105,13385,6067,707,6774
105,111,20638,6450,14571,21021
111,32,32122,5946,25673,31618
32,115,17664,11295,2493,13788
115,32,30611,6886,19316,26202
32,99,17930,11688,11044,22732
99,111,30237,5927,18549,24476
111,109,22464,5839,16537,22376
109,112,24050,8253,18210,26463
112,117,27885,6448,19632,26081
117,115,15809,10782,9361,20143
115,111,19240,5643,8457,14101
111,32,24667,5652,19024,24675
32,116,45225,7554,39574,47127
116,111,17324,6746,9770,16516
111,100,14999,12592,8252,20844
100,111,15306,6260,2714,8974
111,32,26490,6848,20229,27078
32,112,23462,7353,16614,23967
112,97,14407,15812,7053,22865
97,114,25480,5237,9668,14905
114,97,8758,12695,3521,16216
97,32,21168,8847,8472,17319
32,113,11462,16415,2616,19031
