@RELATION keys
@ATTRIBUTE letter1  STRING
@ATTRIBUTE letter2  STRING
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140196'}

@DATA
a,n,12780,4760,20860,25620,1140196
n,d,17600,10330,8050,18380,1140196
d,space,15150,11980,4820,16800,1140196
space,m,190460,9490,178480,187970,1140196
m,u,24790,7940,15300,23240,1140196
u,t,25610,8730,17670,26400,1140196
t,u,24800,8730,16070,24800,1140196
u,a,17540,15150,8810,23960,1140196
a,l,23290,9500,8140,17640,1140196
l,space,19170,11120,9670,20790,1140196
space,u,27180,7940,16060,24000,1140196
u,d,43960,9570,36020,45590,1140196
d,e,24050,12740,14480,27220,1140196
e,r,24790,10340,12050,22390,1140196
r,s,24010,11940,13670,25610,1140196
s,t,19960,7930,8020,15950,1140196
t,a,15200,13580,7270,20850,1140196
a,n,16050,7920,2470,10390,1140196
n,d,29590,11930,21670,33600,1140196
d,i,19180,7160,7250,14410,1140196
i,n,20820,9500,13660,23160,1140196
n,g,15220,11890,5720,17610,1140196
space,h,36750,8770,25600,34370,1140196
e,a,15210,2330,23290,25620,1140196
a,l,35200,8730,13670,22400,1140196
l,p,25590,9500,16860,26360,1140196
backspace,l,97610,7920,88890,96810,1140196
l,p,22370,8720,14450,23170,1140196
p,i,23160,7960,14440,22400,1140196
i,n,25650,9530,17690,27220,1140196
n,g,13590,9540,4060,13600,1140196
g,space,13600,11150,4060,15210,1140196
space,e,22400,14310,11250,25560,1140196
a,c,15210,6320,24890,31210,1140196
c,h,17600,9540,3260,12800,1140196
h,o,29600,8740,20060,28800,1140196
o,t,31210,7130,22470,29600,1140196
h,e,11200,2310,21660,23970,1140196
e,r,20810,11930,9680,21610,1140196
r,r,15170,7970,3240,11210,1140196
r,space,18380,7960,10410,18370,1140196
space,space,273620,10350,265660,276010,1140196
shift,shift,32010,9540,331270,340810,1140196
shift,space,18390,15150,5670,20820,1140196
space,w,84830,12720,69680,82400,1140196
w,o,15170,9540,2450,11990,1140196
o,u,24010,10340,14470,24810,1140196
u,l,25600,11140,15260,26400,1140196
l,d,14390,11120,3250,14370,1140196
d,space,15960,9570,4840,14410,1140196
space,l,18440,10350,8870,19220,1140196
l,i,24810,7930,14460,22390,1140196
k,e,11990,1540,22460,24000,1140196
e,space,15950,9570,4820,14390,1140196
space,t,14390,12000,4820,16820,1140196
t,o,14450,10360,2450,12810,1140196
o,space,13600,11940,3240,15180,1140196
space,b,26420,9530,14480,24010,1140196
b,e,11990,8750,2460,11210,1140196
e,c,32000,13520,23250,36770,1140196
c,o,16000,7940,2480,10420,1140196
o,m,21600,11150,13660,24810,1140196
m,e,13600,8750,2450,11200,1140196
e,space,14400,11150,5650,16800,1140196
s,o,11170,2370,16820,19190,1140196
o,m,21580,11190,12010,23200,1140196
m,e,15260,9530,4070,13600,1140196
e,o,16800,7130,7270,14400,1140196
o,n,22390,11130,15260,26390,1140196
n,e,13530,9580,2400,11980,1140196
e,space,15260,9780,5680,15460,1140196
space,w,91960,15990,82180,98170,1140196
w,h,20840,10350,4850,15200,1140196
h,o,28010,9560,17660,27220,1140196
o,m,88000,10310,78440,88750,1140196
m,space,19210,13530,8900,22430,1140196
w,e,19940,8790,28810,37600,1140196
e,space,20850,11940,4860,16800,1140196
c,a,16760,6370,21610,27980,1140196
a,n,15250,5540,8880,14420,1140196
n,space,15190,9530,2430,11960,1140196
space,w,36800,11900,23260,35160,1140196
w,h,17560,8780,5660,14440,1140196
h,o,25600,10380,16820,27200,1140196
space,c,13600,1540,19250,20790,1140196
c,a,18420,9540,16880,26420,1140196
a,n,11190,9500,1650,11150,1140196
n,space,15930,14410,4040,18450,1140196
space,h,68880,8730,54470,63200,1140196
h,e,10380,11110,1650,12760,1140196
e,l,19170,11190,8060,19250,1140196
l,space,16000,12790,4810,17600,1140196
backspace,e,136010,11130,125660,136790,1140196
e,l,17580,7950,6450,14400,1140196
l,p,16800,10350,8850,19200,1140196
p,space,19210,11940,8860,20800,1140196
space,t,111160,7180,99220,106400,1140196
t,h,17580,12000,10400,22400,1140196
h,e,14450,10350,2450,12800,1140196
e,space,14400,8750,4050,12800,1140196
space,o,21610,7950,12860,20810,1140196
o,t,44750,7150,36800,43950,1140196
t,h,18460,11940,11310,23250,1140196
h,e,14390,10340,2450,12790,1140196
e,r,20800,9550,10460,20010,1140196
r,s,34420,11910,24870,36780,1140196
space,t,22410,7140,12050,19190,1140196
t,h,16750,11960,9610,21570,1140196
space,e,2410,2330,15300,17630,1140196
e,e,61600,10290,52870,63160,1140196
backspace,e,43380,11690,35530,47220,1140196
e,space,43670,11200,31980,43180,1140196
space,n,25680,8730,14480,23210,1140196
n,e,16770,8760,8040,16800,1140196
e,e,16010,9530,7250,16780,1140196
e,d,20740,11200,11210,22410,1140196
d,y,20860,7910,9660,17570,1140196
y,space,15150,10380,7240,17620,1140196
space,o,23250,7150,12870,20020,1140196
o,n,24790,8710,17640,26350,1140196
n,e,12760,10390,4050,14440,1140196
e,s,22440,13550,12050,25600,1140196
s,s,18400,10320,4850,15170,1140196
s,space,16800,11950,6480,18430,1140196
shift,shift,26370,11960,37620,49580,1140196
shift,t,15980,8800,1640,10440,1140196
t,space,12040,14360,3240,17600,1140196
space,w,50420,11110,36060,47170,1140196
w,o,17560,6380,6450,12830,1140196
o,u,22440,7940,16060,24000,1140196
u,l,22390,10350,14450,24800,1140196
d,space,8060,2330,10460,12790,1140196
space,b,18400,11890,8060,19950,1140196
b,e,13540,9600,1650,11250,1140196
e,space,12850,9550,3250,12800,1140196
space,m,24830,8720,15280,24000,1140196
m,y,26380,7110,17660,24770,1140196
y,space,14380,7960,7270,15230,1140196
space,p,20750,7980,12790,20770,1140196
p,l,21670,10330,13690,24020,1140196
l,e,12790,11150,2460,13610,1140196
a,s,16010,7140,17660,24800,1140196
s,u,17550,7990,2450,10440,1140196
r,e,12040,7150,21650,28800,1140196
e,space,12010,4740,4860,9600,1140196
space,t,75140,9590,64810,74400,1140196
t,o,15250,8750,5660,14410,1140196
o,space,13610,15140,4860,20000,1140196
space,h,35190,7940,20050,27990,1140196
h,e,15200,11140,7260,18400,1140196
e,l,15140,7960,4000,11960,1140196
l,p,16870,9540,8910,18450,1140196
p,space,15200,12790,5660,18450,1140196
space,t,18490,9450,5700,15150,1140196
t,h,15910,7930,6460,14390,1140196
h,e,13590,11150,5660,16810,1140196
e,space,12800,8730,1650,10380,1140196
space,o,20740,8000,12010,20010,1140196
o,t,64090,7110,56090,63200,1140196
t,h,16770,10320,9660,19980,1140196
h,e,12740,8780,2420,11200,1140196
e,r,23260,9540,14480,24020,1140196
r,s,23210,12740,13670,26410,1140196
s,space,17590,9580,4850,14430,1140196
space,i,51150,7190,41570,48760,1140196
i,n,24060,10330,16870,27200,1140196
n,space,19990,9540,9660,19200,1140196
space,c,17590,12750,8050,20800,1140196
a,s,14340,12750,17660,30410,1140196
s,e,30430,12720,8910,21630,1140196
e,space,15150,11960,2430,14390,1140196
space,o,22420,9540,10460,20000,1140196
o,f,15200,9500,5660,15160,1140196
f,space,15150,12000,5650,17650,1140196
space,t,40050,7940,28050,35990,1140196
backspace,space,14350,11160,2440,13600,1140196
shift,shift,20040,9550,23290,32840,1140196
shift,o,22390,9550,5650,15200,1140196
m,k,2400,1540,16860,18400,1140196
k,e,8800,11910,2460,14370,1140196
e,space,23210,12730,11300,24030,1140196
d,a,13600,5540,15260,20800,1140196
a,y,16890,3050,11350,14400,1140196
y,space,20710,13530,8070,21600,1140196
backspace,e,22390,11930,12050,23980,1140196
e,space,75210,10340,63280,73620,1140196
backspace,e,53600,11910,43280,55190,1140196
backspace,m,28850,10290,20070,30360,1140196
m,e,15140,10400,4850,15250,1140196
e,space,15260,13530,4860,18390,1140196
d,a,15220,5530,19270,24800,1140196
a,y,11140,7180,5610,12790,1140196
y,space,12080,9520,2460,11980,1140196
shift,shift,23230,5540,35260,40800,1140196
shift,space,15180,15950,3250,19200,1140196
w,o,15200,2310,17660,19970,1140196
o,u,21720,9420,12140,21560,1140196
u,l,23880,11940,14460,26400,1140196
d,space,6440,3940,8880,12820,1140196
space,l,19200,10320,5680,16000,1140196
l,i,23920,9600,13600,23200,1140196
i,k,73660,9550,64060,73610,1140196
k,e,12000,11940,2450,14390,1140196
e,space,13610,11100,1670,12770,1140196
space,t,15140,11150,4040,15190,1140196
t,o,17640,9550,6490,16040,1140196
o,space,14400,15160,4850,20010,1140196
space,b,39210,9540,24050,33590,1140196
b,e,16020,11120,6480,17600,1140196
e,space,14330,11950,3210,15160,1140196
a,space,15200,1580,21710,23290,1140196
space,m,15990,12740,7260,20000,1140196
m,i,24800,8740,12060,20800,1140196
i,s,15190,9540,6450,15990,1140196
s,s,16760,12790,7220,20010,1140196
s,i,19360,8630,6570,15200,1140196
i,o,16690,10340,8060,18400,1140196
o,n,24790,10350,14450,24800,1140196
n,a,12000,16740,1650,18390,1140196
a,r,29540,10380,12800,23180,1140196
r,y,20010,8800,9630,18430,1140196
y,space,54490,11910,45690,57600,1140196
space,a,31120,16780,19210,35990,1140196
a,n,19230,8760,2450,11210,1140196
n,d,15210,11150,6450,17600,1140196
d,space,14410,8730,3260,11990,1140196
space,h,20790,7950,12060,20010,1140196
h,e,13610,11100,5660,16760,1140196
e,l,23200,7910,12100,20010,1140196
l,p,17610,10330,9700,20030,1140196
p,space,21570,12760,11240,24000,1140196
space,t,20810,11150,8050,19200,1140196
t,h,16000,8700,4850,13550,1140196
e,space,12070,2350,15310,17660,1140196
space,p,24000,7940,14470,22410,1140196
p,e,15990,8750,8050,16800,1140196
e,o,10400,7140,1650,8790,1140196
o,p,18420,7930,11280,19210,1140196
p,l,19130,11990,11200,23190,1140196
l,e,14440,11160,2450,13610,1140196
e,space,15210,8720,4050,12770,1140196
space,b,312800,18320,304080,322400,1140196
b,y,30410,11140,12090,23230,1140196
y,space,16830,15880,5690,21570,1140196
space,s,243170,12740,227290,240030,1140196
s,o,20790,7140,8050,15190,1140196
o,m,23200,11110,16060,27170,1140196
m,e,13540,14380,2430,16810,1140196
e,t,26460,10340,12080,22420,1140196
t,h,14430,7910,4090,12000,1140196
h,i,20770,8740,12860,21600,1140196
n,g,10400,1540,24060,25600,1140196
ctrl,ctrl,50,4640,12230,16870,1140196
shift,shift,27230,11140,87260,98400,1140196
shift,space,22390,14350,9650,24000,1140196
c,a,15970,7970,18410,26380,1140196
a,n,20050,2300,12080,14380,1140196
n,space,15200,10340,6460,16800,1140196
space,d,18390,12750,8050,20800,1140196
d,o,14390,8750,1640,10390,1140196
o,space,14410,13510,5660,19170,1140196
space,f,22390,7160,8880,16040,1140196
f,o,32090,7870,24930,32800,1140196
o,r,12720,11140,4850,15990,1140196
r,space,17600,8750,6460,15210,1140196
space,t,10390,10350,1640,11990,1140196
t,h,17610,7920,7260,15180,1140196
h,e,14340,12000,6420,18420,1140196
e,m,18460,8720,6460,15180,1140196
m,m,48000,8740,39280,48020,1140196
m,space,16800,11110,8060,19170,1140196
shift,shift,19990,9520,183290,192810,1140196
shift,i,28800,7920,12080,20000,1140196
i,v,36020,8690,28100,36790,1140196
v,i,30400,8720,21710,30430,1140196
i,n,23140,11980,14420,26400,1140196
n,g,15230,11950,3250,15200,1140196
g,space,16010,10340,4060,14400,1140196
space,i,22390,8750,12050,20800,1140196
i,s,16020,11130,7270,18400,1140196
s,space,13580,7110,2450,9560,1140196
space,n,15140,11220,8030,19250,1140196
n,o,30470,10340,19250,29590,1140196
o,t,19200,12740,8860,21600,1140196
t,space,15160,11980,2420,14400,1140196
